file_name,title_ch,journal_year,target_string,matching_string,string_distance,context,notes,execution_or_custody,brain_death,death_determination,cardiorespiratory_arrest,airway_or_ventilation,consent_or_family,donation_system,donor_language
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,气管插管","充足,气 管内插管",0.363636363636364,"iO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后气管紧急插管,纯氧通气","之前,应通气充足,气 管内插管",0.399248590813889,"PaO2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后迅速气管插管进行机械通气,流程时，均接受气 管插管机械通气,0.4,"提高捐献 器官的使用率；同时发现不适合作为潜在供肺的证据， 避免盲目扩大边缘性供肺影响移植的近期及远期效果， 减少医疗资源浪费。供肺进入评估流程时，均接受气 管插管机械通气。因此，ICU医护人员和供肺获取专 家，应尽可能提前供肺维护，使更多供肺最终进入可 用之列。"", 
""3.1\",,False,True,False,False,True,False,True,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后用麻醉机维持呼吸,死亡；叶类为脑死亡后呼吸,0.422649730810374,赫特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I类为DB,,False,True,True,True,True,False,True,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,紧急气管插管","通气充足,气 管内插管",0.427108100768454,"/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体确定脑死亡后,气管插管,彻底吸除气道分泌物,用简易呼吸器人工控制呼吸",",气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大",0.452732766830112,"2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液平衡",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后迅速气管插管,"气充足,气 管内插管",0.459938275132678,"FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后插入气管导管,"气充足,气 管内插管",0.459938275132678,"FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后，用麻醉机维持呼吸,，即脑死亡后停用生 命支持,0.461538461538461,"为DBD；n类国际标准化DCD,包括 Maastricht分类标准I〜汗类DCD ；出类为DBCD, 类似于Maastricht分类标准叶类，即脑死亡后停用生 命支持措施，呼吸停止、心脏停搏后的供体［6］。"", 
""我国DBD依据国家卫生和计划生育委员会脑损 伤质控评价中心制定的《",,False,True,False,True,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体脑死亡后快速正中开胸,同时插入气管导管人工通气","应通气充足,气 管内插管位置正确,潮气量足够,同时",0.477986688490833,"2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体在确认脑死亡后,气管插管,建立人工呼吸","前,应通气充足,气 管内插管位置正确,潮气",0.49290744716289,"aO2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,将供体取仰卧位,争取做气管插管",",应通气充足,气 管内插管位置正确,潮气",0.495495404502766,"O2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持",,False,True,False,False,True,False,False,True
0230.txt,中国肺移植供体标准及获取转运指南,2018,供者脑死亡后迅速建立人工呼吸,心脏死亡；叶类为脑死亡后呼吸,0.49604736932103,特里赫特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I类为,,False,True,True,True,False,False,True,True
