pmcid,pmid,doi,title,journal,publication_year,publication_date,author_string,is_retracted,is_open_access,full_text_recovered,iorg_occurrences,uses_as_approval_or_protocol,contains_transplant_terms_nearby,contains_date_nearby,contexts
PMC12930891,41535803,10.1186/s12884-025-08302-8,Successful preterm cesarean delivery in a woman with right atrial isomerism: a case report.,,2026,2026-01-15,"He Y, Wu Q, Zhu Y, Xia G.",False,True,True,1,True,False,False,"ipt. All authors have read and approved the manuscript. Funding No external funding sources were used for this study. Data availability Not applicable. Declarations Ethics approval and consent to participate The project was approved by the Committees of Union Hospital, Tongji Medical College Huazhong University of Science and Technology. (IORG No. IORG0003571) Consent for publication Written informed consent was obtained from the patient for publication of this case report and accompanying images. Competing interests The authors declare no competing interests. Footnotes Publisher’s Note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations"
PMC12433043,40949917,10.21037/tp-2025-365,Lateral external fixation plus K-wire for pediatric supracondylar humeral fracture with medial comminution: a retrospective study of 53 cases in a tertiary medical center.,,2025,2025-08-15,"He X, Zou K, Wang S, Li J, Hong P.",False,True,True,2,True,False,False,"tabolic disorders; (IV) patients with polytrauma; and (V) earlier injury or earlier instrumentation in the same limb. The study was conducted in accordance with the Declaration of Helsinki and its subsequent amendments. The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571) and all guardians of patients signed written informed consent for participate. Surgical technique Supine position was adopted, and all surgeries were performed under general anesthesia without the application of a tourniquet. Schanz Screws (generally 3 or 4 mm in diameter) and KW with diameter 1.5 or 2.0 mm were employed in this study. Usually, o || t questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved. The study was conducted in accordance with the Declaration of Helsinki and its subsequent amendments. The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571) and all guardians of patients signed written informed consent for participate. Footnotes Reporting Checklist: The authors have completed the STROBE reporting checklist. Available at https://tp.amegroups.com/article/view/10.21037/tp-2025-365/rc Funding: None. Conflicts of Interest: All authors have completed the ICMJE uniform disclosure form (avai"
PMC12512693,41068637,10.1186/s12876-025-04307-x,The role of peripheral blood cell analysis-derived inflammatory parameters in predicting malignant duodenal stenosis.,,2025,2025-10-09,"Pata'er P, Liu S, Chen J, He Q, Shang G, Jin Y, Liu J, Han C, Liu S.",False,True,True,2,True,False,False,"me patients’ admission records, retrospective data revealed these records were incomplete and non-standardized. Consequently, this study excluded them from the primary analysis. Fig. 1 Flow diagram demonstrating study design The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No: IORG0003571). All patients signed informed consent for the endoscopy, and the data had been anonymized and de-identified. Statistical analysis SPSS 27.0 was utilized for statistical analysis. Measurement data following a normal distribution were presented as mean ± standard deviation (𝑥̅ ± 𝑠), and independent-sample T test was used for intergroup comparisons. || nformation such as indirect identifiers that may compromise the privacy of research participants, but are available from the corresponding author on reasonable request. Declarations Ethics approval and consent to participate The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No: IORG0003571). We certify that the study was performed in accordance with the ethical standards as laid down in the 1964 Declaration of Helsinki and its later amendments. All patients signed informed consent for the endoscopy, and the data had been anonymized and de-identified. Consent for publication Not applicable. Competing interests The authors declare no"
PMC12937755,41751324,10.3390/biomedicines14020425,Integrated Weighted Gene Co-Expression Network and Single-Cell RNA Sequencing Analyses Reveal the Prognostic Significance of Hypoxia in Gastric Cancer.,,2026,2026-02-13,"Jiang C, Li X, Liu Y, Cai S, Yao H, Shi H, Wang K, Yao Y, Lin R.",False,True,True,2,True,False,False,"al Time-PCR (qRT-PCR) GC tissues and paired para-carcinoma tissues were obtained from five patients at the Endoscopy Center of Wuhan Union Hospital with written informed consent from all participants. The study protocol was approved by the Institutional Review Board of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571). Total RNA was extracted using TRIzol (Vazyme, Nanjing, China), and RNA integrity was assessed by spectrophotometry, with samples showing A260/A280 values between 1.8 and 2.0 selected for downstream analyses. For reverse transcription, 1 μg of total RNA was reverse-transcribed into cDNA using a commercial reverse transcription kit (Vazyme, China) || the manuscript. Institutional Review Board Statement All procedures complied with institutional and national ethical regulations and conformed to the Declaration of Helsinki and its later revisions. This study protocol was approved by the Institutional Review Board of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571). Informed Consent Statement Informed consent was obtained from all subjects involved in the study. Data Availability Statement The data used and/or analyzed in this study were obtained from the TCGA database and GEO database, which are available upon request and are publicly available databases. Conflicts of Interest The authors declare no confli"
PMC11317266,39136003,10.3389/fonc.2024.1424785,Case report: Suspicious laryngeal mass: a case of laryngeal lymphoma misdiagnosed as chronic inflammation.,,2024,2024-07-29,"Hu J, Han B, Ding R, Qiu Y, Sun H, Zhu Y.",False,True,True,2,True,False,False,"idering laryngeal lymphoma in the differential diagnosis of laryngeal tumors, we report a rare case of primary laryngeal lymphoma and discuss its characteristics and difficulty of diagnosis. Case presentation Clinical history The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology approved this study (IORG No. IORG0003571). This case report was prepared in accordance with the CARE (Case Reports) guidelines, as available on the EQUATOR Network ( https://www.equator-network.org/ ). A 63-year-old male patient presented to the Ear, Nose, and Throat (ENT)Department with complaints of a foreign body sensation in the throat and dysphagia. The symptoms emerged 2 months aft || ient outcomes. Data availability statement The original contributions presented in the study are included in the article/supplementary material. Further inquiries can be directed to the corresponding authors. Ethics statement The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology approved this study (IORG No: IORG0003571). The studies were conducted in accordance with the local legislation and institutional requirements. Written informed consent for participation in this study was provided by the participants’ legal guardians/next of kin. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data"
PMC12228213,40618085,10.1186/s12891-025-08913-4,Internal fixation of comminuted patellar fractures with only non-absorbable suture via nice knot: a retrospective study.,,2025,2025-07-05,"Zeng L, Xia T, Yang X, Xu Q, Sun Y, Li C, Lu H, Sun W, Xue P, Zhang P, Wang J, Qu Y.",False,True,True,1,True,False,False,"he findings of this study are available from the corresponding author upon formal request. Declarations Ethics approval and consent to participate This study was conducted in accordance with the Declaration of Helsinki and received approval from the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571). All participants provided written informed consent prior to enrollment, and all data were collected anonymously and processed centrally. Consent for publication Not applicable. Competing interests The authors declare no competing interests. Footnotes Publisher’s Note Springer Nature remains neutral with regard to jurisdictional claims in publish"
PMC11641272,39685099,10.3390/healthcare12232477,Passive Smoking Is Associated with the Risk of Functional Bowel Disorders Among College Freshmen.,,2024,2024-12-07,"Guo J, Du F, Duan C, Chen C, Yang J, Yang X, Liu S, Bai T, Hou X.",False,True,True,2,True,False,True,"ied from 13.2% to 18.3% in relatively young adults [ 2 , 16 ], according to the established formula, the sample size of 3074 included in the study is sufficient to achieve a precision of ±2.5% with a 95% confidence interval. The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No: IORG0003571) and was in accordance with the Declaration of Helsinki. 2.2. Questionnaires Four parts focused on demographic information, general health status, digestive symptoms, and student-life stress inventory (SLSI) were included. Demographic information included sex, age, height, and weight. General health status contained medical history (previous disea || nd X.H.; Project Administration, T.B. All authors have read and agreed to the published version of the manuscript. Institutional Review Board Statement The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (No: IORG0003571 on 10 May 2018). Informed Consent Statement Informed consent was obtained from all subjects involved in the study. Data Availability Statement The raw data supporting the conclusions of this article will be made available by the authors upon request. Conflicts of Interest The authors declare no conflicts of interest. References 1. Ma C. Congly S.E"
PMC12302799,40722024,10.1186/s12963-025-00406-9,The effect of follow-up on the blood pressure control: a longitudinal study in rural areas of China.,,2025,2025-07-28,"Chen F, Yang E, Qing H, Wei Y, Tang S.",False,True,True,1,True,False,False,"Social Science project (grant No. 20YJC630134) and National Natural Science Foundation of China General Program (grant No. 72374079). Data availability No datasets were generated or analysed during the current study. Declarations Ethics approval The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571) gave a final approval on this study. Consent for publication This study used anonymized population data for which informed consent could not be obtained. Competing interests The authors declare no competing interests. Footnotes Publisher’s note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutiona"
PMC12574422,41181058,10.1002/hcs2.70027,"Awareness, Knowledge, and Acceptance of Living Wills Among Chinese Cancer Patients: A Cross-Sectional Study.",,2025,2025-09-02,"Hu L, Wang J, Hu D, Liu Y, Han Y, Liu W, Teng F, Ding X, Dai Y, Bao L, Zhang H, Cheng Q, Yang Y, Jiao T, Luo F, Yang Y, Wang Z, Yang X, Yang S.",False,True,True,1,True,False,False,"ingting Jiao: investigation (equal). Fei Luo: investigation (equal). Yali Yang: investigation (equal). Zixi Wang: investigation (equal). Xiaoping Yang: investigation (equal). Shengli Yang: resources (equal). Ethics Statement The study was approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (NO.:IORG0003571) and informed consent was taken from all individual participants. Consent Informed consent was obtained from all subjects or their families. Conflicts of Interest The authors declare no conflicts of interest. Supporting information Supporting Information: Questionnaire on Cognition, Attitude and Wish of Living Will in Patients with Malignant Tumor"
PMC11351237,39200309,10.3390/biomedicines12081845,Clinical Outcomes and Risk Factors of Heart Transplantation Patients Experiencing Gastrointestinal Bleeding.,,2024,2024-08-14,"Li W, Zhang C, Zhou X, Xu Q, Wang K, Lin R, Shi J, Dong N.",False,True,True,2,True,True,True,"of GIB after HT and to analyze their association with clinical outcomes, providing new evidence for risk stratification and clinical practice in these patients. 2. Materials and Methods 2.1. Patients and Study Design This is a retrospective study approved by the Ethics Committee of Tongji College, Huazhong University of Science and Technology (No: IORG0003571). From January 2015 to December 2021, adult patients aged 18 years or older who were admitted to Union Hospital for HT were recruited. Patients were excluded if they met any of the following criteria: (1) experienced GIB within 30 days prior to HT; (2) underwent multi-organ transplantation; (3) died during the procedure; (4) had insufficient clini || .; project administration, N.D. and J.S. All authors have read and agreed to the published version of the manuscript. Institutional Review Board Statement This study was conducted in accordance with the Declaration of Helsinki and was approved by the Ethics Committee of Tongji College, Huazhong University of Science and Technology (protocol number IORG0003571, dated 10 December 2014). The need for written informed consent was waived given the retrospective nature of this study. Informed Consent Statement Informed consent was obtained from all the subjects involved in this study. Data Availability Statement The original data are available from the corresponding author upon request. The data are not publ"
PMC13017915,41908773,10.3389/fpubh.2026.1773183,Development and validation of the quiet quitting behavior scale: a mixed-methods study with primary healthcare workers in China.,,2026,2026-03-12,"Li QL, Sun T, Zhang X.",False,True,True,1,True,False,False,"l contributions presented in the study are included in the article/ Supplementary material , further inquiries can be directed to the corresponding author. Ethics statement The studies involving human participants were reviewed and approved by the Ethics Committee of Tongji Medical College of Huazhong University of Science and Technology (IORG no. IORG0003571) and adheres to the principles outlined in the Declaration of Helsinki. All procedures complied with applicable local regulations and institutional guidelines. Written informed consent was obtained from all participants prior to the investigation. The survey was administered anonymously, and participants were informed of their right to withdraw fr"
PMC10834184,38111013,10.1111/os.13958,A Rare Combined Injury in Children during Side Impact: The Possible Mechanism and Treatment Results.,,2024,2023-12-18,"Liu S, OuYang L, He X, Liu J, Peng L, Rai S, Lin W, Tang X.",False,True,True,2,True,False,True,"nd (iii) have been followed‐up for at least 24 months. Exclusion criteria were: (i) patients with congenital clavicular or humeral abnormalities; (ii) pathological fractures; and (iii) open fracture involves injury to ligaments, blood vessels or nerves needing emergency surgery. The ethical review committee of the corresponding author's institute (IORG0003571) approves this retrospective study. All methods were performed in accordance with the relevant guidelines and regulations. All the guardians of the patients signed written informed consent forms after understanding the potential complications and the pros and cons of each method. The medical history was collected before surgery. Surgical Technique || inalized the manuscript. Conflict of Interest Statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest. Ethics Statement The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571) gave a final APPROVAL on 20/11/2019 for the study Retrospective Re‐search of Surgical Methods in the Treatment of Fractures and malformation in Children which is conducted by Xin Tang at Department of Orthopedic Surgery, Union Hospital of Tongji Medical College, Huazhong University of Science and Technology. Data Availability Statement The origin"
PMC11545802,39516739,10.1186/s12889-024-20575-w,The impact of internet medical service on rural gender inequality in health opportunity: a cross-sectional study.,,2024,2024-11-08,"Jia J, Jia C, Zhang X, Ren P, Chen M, Xu J.",False,True,True,2,True,False,False,"characteristics of the participants. The internal consistency of the questionnaire scales was confirmed with Cronbach’s α coefficients ranging from 0.758 to 0.921, indicating high reliability and measurement validity. This study was approved by the ethics committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). Variables Internet medical service The fundamental goal of Internet medical service is to enhance the accessibility of quality medical resources. Its most common application involves users accessing health information online [ 22 ]; thus, the frequency of Internet medical service information retrieval was used to measure Internet medical service || tudy, and so are not publicly available. Data are however available from corresponding author on reasonable request and with permission of the project principal. Declarations Ethics approval and consent to participate The study was approved by the Ethics Committee of Tongji Medical College of Huazhong University of Science and Technology (IORG No. IORG0003571). Informed consent was obtained from all subjects prior to the investigation and there were no human subjects in the study. All methods were performed in accordance with relevant guidelines and regulations. Consent for publication Not applicable. Competing interests The authors declare no competing interests. References 1. National Bureau Of Stati"
PMC12230576,40625833,10.3389/fcimb.2025.1521641,The impact of bronchoalveolar lavage fluid metagenomics next-generation sequencing on the diagnosis and management of patients with suspected pulmonary infection.,,2025,2025-06-23,"Zhou M, Sun S, Chen L, Xu H, Liu L, Lv J, Zhang J, Xiong X.",False,True,True,2,True,False,False,"rospective study recruited 317 patients from the Department of Respiratory and Critical Care Medicine, between May 2020 and August 2021. This study was conducted in accordance with the principles of the Declaration of Helsinki and approved by the Ethics Committee of Tongji Medical College of Huazhong University of Science and Technology (Grant No. IORG0003571). Given the retrospective nature of the study and the use of anonymized data, the need for written informed consent was waived by the Ethics Committee. All patient information was de-identified prior to analysis to protect patient confidentiality. The inclusion criteria were (1) age≥14 years, (2) suspected pneumonia, and (3) mNGS results. The excl || , China National Center for Bioinformation / Beijing Institute of Genomics, Chinese Academy of Sciences (GSA: CRA026168) that are publicly accessible at https://ngdc.cncb.ac.cn/gsa . Ethics statement The studies involving humans were approved by The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). The studies were conducted in accordance with the local legislation and institutional requirements. The human samples used in this study were acquired from Test results in normal clinical diagnosis and treatment. Written informed consent for participation was not required from the participants or the participants’ legal guardians/next of kin in"
PMC12016213,40269677,10.1186/s12871-025-03075-1,Analysis of factors associated with polyuria in spinal surgery: a retrospective study.,,2025,2025-04-23,"Zhou S, Tian Z, Chu T, Yu S, Xin Y, Xu A.",False,True,True,1,True,False,True,"at ajxu@tjh.tjmu.edu.cn. Declarations Ethics approval and consent to participate Ethics approval and Consent to Participate were performed in accordance with the relevant guidelines and regulations by the Declaration of Helsinki. Ethics approval The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571) gave a final APPROVAL on 03/09/2022 for the study Analysis of factors associated with polyuria in spinal surgery: a retrospective study which is conducted by Xu Aijun at Department of Anesthesiology, Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology. Consent for publication Not applicable. Consent to partici"
PMC12879408,41634792,10.1186/s12951-025-04004-7,Biomimetic scaffolds with synergistic BMSC targeting and ROS scavenging for mitochondrial protection and effective bone-defect repair.,,2026,2026-02-03,"Yao S, Zeng L, Wang H, Liu J, Cao X, Xu Z, Zhang Y, He S, Ye B, Sun T, Guo X.",False,True,True,1,True,False,False,"ted during this study are available from the corresponding author upon reasonable request. Declarations Ethics approval and consent to participate All animal experiments were approved and performed according to the regulations and guidelines of the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No.: IORG0003571) and conducted according to the Animal Research: Reporting of In Vivo Experiments (ARRIVE) and Institutional Animal Care and Use Committee (IACUC) guidelines. Consent for publication All authors have consented to the publication of this article. Competing interests The authors declare no competing interests. Footnotes Publisher’s note Springer Nat"
PMC10782239,38018315,10.1111/os.13945,Possible Mechanism and Treatment Results of Combined Pediatric Fractures of the Humeral Lateral Condyle and Ipsilateral Ulnar Olecranon.,,2024,2023-11-29,"Liu S, Peng L, Liu J, OuYang L, Wang Z, Rai S, Lin W, Tang X.",False,True,True,2,True,False,True,"ayo type I fractures, 17 while TBW or a locking plate were used for Mayo type II fractures. All treatment methods were carried out in accordance with the relevant guidelines and regulations. Written informed consent was obtained from the legal guardians of all patients, and the study was approved by the institutional review board of our institute (IORG0003571). Surgical Technique All surgeries were carried out with the patient under general anesthesia in the supine position. A pneumatic tourniquet was applied with the arm in forward flexion at 90° and placed on a board. An incision of approximately 3–4 cm was made over the lateral condyle of the humerus to expose the fracture ends. After fracture expos || arch committee and with the 1964 Helsinki declaration and its later amendments or comparable ethical standards. Although the data were collected anonymized and centrally, all guardians of patients signed written informed consent for participate. The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571) gave final APPROVAL on 20 November 2019 for the study Retrospective Re‐search of Surgical Methods in the Treatment of Fractures and malformation in Children conducted by Xin Tang at the Department of Orthopedic Surgery, Union Hospital of Tongji Medical College, Huazhong University of Science and Technology. Author Contributions Z.Z.W., L.Z.O.Y.,"
PMC11879816,40046877,10.3389/fendo.2025.1451722,Understanding the link between ALDH2 genotypes and diabetes.,,2025,2025-02-19,"Peng M, Liu R, Zhang J, Kong W, Zheng J, Hu X, Wan L, Hu S, Tian S, Wang Y, Liu G, Qiu K, Zeng T, Chen L.",False,True,True,2,True,False,False,"Test (OGTT), 4,535 were included in the final analysis after excluding those with missing gender or age information, those taking anti-diabetes medications, and those with failed genotyping tests. The study protocol was approved by the Institutional Review Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No. IORG0003571) and conducted in accordance with the Declaration of Helsinki and Good Clinical Practice guidelines. All participants provided written informed consent. Questionnaire and physical examination Experienced investigators conducted questionnaires (including age, gender, drinking habits, smoking habits, family history of diabetes, exercise, education, || ts presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found in the article/ Supplementary Material . Ethics statement The studies involving humans were approved by The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). The studies were conducted in accordance with the local legislation and institutional requirements. The participants provided their written informed consent to participate in this study. Author contributions MP: Funding acquisition, Methodology, Writing – review & editing, Writing – original draft. RL: Methodology, Writing – original draft, Writ"
PMC12720664,41438568,10.1080/20002297.2025.2591626,"Oral &lt;i&gt;Prevotella&lt;/i&gt; induces fat taste impairment, visceral lipid accumulation and insulin resistance by downregulating Hedgehog signaling in taste buds.",,2025,2025-12-19,"Liu X, Zhang J, He Y, Zhang Q, Du S, Zeng T, Zhang J, Zhang H, Luo H, Li H, Wang Y, Peng M, Zhang N, Chen Q, Huang H, Wang P, Chen L, Hu X.",False,True,True,1,True,False,False,"chive (SRA) database under project number PRJNA1165860 and PRJNA1165898. Any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request. Ethical approval The study was approved by the ethics committee of Tongji Medical College, Huazhong University of Science and Technology (IORG NO: IORG0003571; IACUC NO: 4049), China and all participants provided written informed consent. References [1] Powell-Wiley TM, Poirier P, Burke LE, et al. Obesity and cardiovascular disease: a scientific statement from the American heart association. Circulation. 2021;143:e984–e1010. doi: 10.1161/CIR.0000000000000973 [2] Wang L, Gao P, Zhang M, et al. Prevalence"
PMC10902111,38425650,10.3389/fphar.2024.1370708,Identification of claudin-2 as a promising biomarker for early diagnosis of pre-diabetes.,,2024,2024-02-15,"Songtao Y, Fangyu L, Jie C, Li Y.",False,True,True,2,True,False,False,"als and methods 2.1 Study population The clinical samples involved in the experiment were all from our previous studies ( Yang et al., 2023 ) and the study was conducted according to the guidelines of the Declaration of Helsinki, and approved by The Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). 2.2 Data collection The expression profiling of GSE164416 , which is based on the GPL16791 platform [Illumina HiSeq 2,500 ( Homo sapiens ), United States], was downloaded from the GEO database. The dataset contains pancreatic tissue samples from 15 non-diabetic (ND) patients, 13 patients with T2DM, and 18 patients with impaired glucose tolerance || ant number 82170812 and 81974104. Data availability statement The raw data supporting the conclusion of this article will be made available by the authors, without undue reservation. Ethics statement The studies involving humans were approved by the Ethics Committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). The studies were conducted in accordance with the local legislation and institutional requirements. The participants provided their written informed consent to participate in this study. The animal study was approved by Animal Research Committee of Tongji Medical College, Huazhong University of Science and Technology, Hubei Province, China. (IAC"
PMC12507866,41079590,10.3389/fcvm.2025.1573589,Impact of recipient body mass index on heart transplantation outcomes.,,2025,2025-09-25,"Masroor M, Jiang C, Xiong T, Wang Y, Dong N.",False,True,True,1,True,False,False,"lability statement The original contributions presented in the study are included in the article/ Supplementary Material , further inquiries can be directed to the corresponding authors. Ethics statement The studies involving humans were approved by Ethics committee of Tongji Medical College, Huazhong University of Science and Technology (IORG No: IORG0003571). The studies were conducted in accordance with the local legislation and institutional requirements. The participants provided their written informed consent to participate in this study. Author contributions MM: Formal analysis, Software, Writing – original draft, Writing – review & editing. CJ: Formal analysis, Software, Writing – original draf"
