file_name,title_ch,journal_year,target_string,matching_string,string_distance,context,notes
0230.txt,中国肺移植供体标准及获取转运指南,2018,供者气管插管,气 管内插管,0.25,">300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液平衡等",
0230.txt,中国肺移植供体标准及获取转运指南,2018,气管切开气管插管,气管炎或支 气管,0.278312163512968,"供体传播感染的风险可忽略不计［12］。因此纤支镜下"", 
""可吸净的适量痰液和微生物培养阳性，不是拒绝供 肺的标准。若纤支镜检查发现有严重的气管炎或支 气管炎，特别是脓液被吸出后仍从段支气管的开口 涌出，提示供肺有严重肺炎，无法使用。"", ""推荐7：纤支镜检查还需特别注意供肺的解剖",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供体手术气管插管通气,受气 管插管机械通气,0.285714285714286,"官的使用率；同时发现不适合作为潜在供肺的证据， 避免盲目扩大边缘性供肺影响移植的近期及远期效果， 减少医疗资源浪费。供肺进入评估流程时，均接受气 管插管机械通气。因此，ICU医护人员和供肺获取专 家，应尽可能提前供肺维护，使更多供肺最终进入可 用之列。"", 
""3.1\t积极抗感染",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供者行气管插管,",气 管内插管",0.333333333333333,"2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液平衡",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供者平卧位,气管插管","充足,气 管内插管位",0.333333333333333,"iO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,气管插管","充足,气 管内插管",0.363636363636364,"iO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后气管紧急插管,纯氧通气","之前,应通气充足,气 管内插管",0.399248590813889,"PaO2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后迅速气管插管进行机械通气,流程时，均接受气 管插管机械通气,0.4,"提高捐献 器官的使用率；同时发现不适合作为潜在供肺的证据， 避免盲目扩大边缘性供肺影响移植的近期及远期效果， 减少医疗资源浪费。供肺进入评估流程时，均接受气 管插管机械通气。因此，ICU医护人员和供肺获取专 家，应尽可能提前供肺维护，使更多供肺最终进入可 用之列。"", 
""3.1\",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供体手术气管插管,"足,气 管内插管",0.4,"O2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液平",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供体平卧位，气管插管,"充足,气 管内插管位",0.416666666666667,"iO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后用麻醉机维持呼吸,死亡；叶类为脑死亡后呼吸,0.422649730810374,赫特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I类为DB,
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,紧急气管插管","通气充足,气 管内插管",0.427108100768454,"/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳",
0230.txt,中国肺移植供体标准及获取转运指南,2018,协助麻醉医生进行支纤镜检查后进行供体气管插管,在供体后，常规行纤维支气管镜（纤 支镜）检查,0.428571428571429,"/年， 或死亡前已经戒烟10年及以上，既往吸烟史不是供 肺的排除标准。"", ""2.3\t纤维支气管镜检查及呼吸道微生物学"", 
""在确定为潜在供体后，常规行纤维支气管镜（纤 支镜）检查，及时有效地吸净供体气道分泌物，防 止肺部感染或肺不张，并对痰液进行微生物培养， 若细菌培养阳性，",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供心的切取供体气管插管后,气管的血供。修剪支气管周,0.4375,"、支气管的顺序来进行。分离肺动脉的鞘 膜至肺动脉第一支，贴近肺静脉分离肺静脉与支气 管之前的结缔组织，尽量保留支气管周围的结缔组织， 保证支气管的血供。修剪支气管周围过多的结缔组织， 保留贴近支气管的结缔组织。然后用超声刀对肺门 及下肺韧带部位进行止血。修剪后供肺如图3所示。"", ",
0230.txt,中国肺移植供体标准及获取转运指南,2018,快速胸部正中切口进胸,毒铺巾，胸骨正中切口,0.452277442494834,"，经过供肺 所在的OPO协调，明确多脏器获取的时间各团队统 一进行多脏器获取。"", 
""4.1\t心肺原位灌注获取"", ""供体仰卧位，常规消毒铺巾，胸骨正中切口， 逐层切开皮肤、皮下组织，分离剑突下，锯开胸骨 进胸，剪开心包，肺动脉根部荷包缝合。充分打开 心包，若心肺均拟获取采用，",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体确定脑死亡后,气管插管,彻底吸除气道分泌物,用简易呼吸器人工控制呼吸",",气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大",0.452732766830112,"2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体液平衡",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"进行供心、肺切取,吸净气管分泌物,气管插管给氧","格之前,应通气充足,气 管内插管位置正确,潮气",0.456254383319465," PaO2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后迅速气管插管,"气充足,气 管内插管",0.459938275132678,"FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后插入气管导管,"气充足,气 管内插管",0.459938275132678,"FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最佳体",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后，用麻醉机维持呼吸,，即脑死亡后停用生 命支持,0.461538461538461,"为DBD；n类国际标准化DCD,包括 Maastricht分类标准I〜汗类DCD ；出类为DBCD, 类似于Maastricht分类标准叶类，即脑死亡后停用生 命支持措施，呼吸停止、心脏停搏后的供体［6］。"", 
""我国DBD依据国家卫生和计划生育委员会脑损 伤质控评价中心制定的《",
0230.txt,中国肺移植供体标准及获取转运指南,2018,协助麻醉医生进行支纤镜检查后进行气管插管,体后，常规行纤维支气管镜（纤 支镜）检查,0.461538461538461,"， 或死亡前已经戒烟10年及以上，既往吸烟史不是供 肺的排除标准。"", ""2.3\t纤维支气管镜检查及呼吸道微生物学"", 
""在确定为潜在供体后，常规行纤维支气管镜（纤 支镜）检查，及时有效地吸净供体气道分泌物，防 止肺部感染或肺不张，并对痰液进行微生物培养， 若细菌培养阳性，则进",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供肺切取:供体气管插管,气管的血供。修剪支气管,0.466666666666667,"、支气管的顺序来进行。分离肺动脉的鞘 膜至肺动脉第一支，贴近肺静脉分离肺静脉与支气 管之前的结缔组织，尽量保留支气管周围的结缔组织， 保证支气管的血供。修剪支气管周围过多的结缔组织， 保留贴近支气管的结缔组织。然后用超声刀对肺门 及下肺韧带部位进行止血。修剪后供肺如图3所示。"", ",
0230.txt,中国肺移植供体标准及获取转运指南,2018,经气管切开气管插管建立人工呼吸,"应通气充足,气 管内插管位置正",0.473798639441566,"2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体脑死亡后快速正中开胸,同时插入气管导管人工通气","应通气充足,气 管内插管位置正确,潮气量足够,同时",0.477986688490833,"2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"供体在确认脑死亡后,气管插管,建立人工呼吸","前,应通气充足,气 管内插管位置正确,潮气",0.49290744716289,"aO2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维",
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,将供体取仰卧位,争取做气管插管",",应通气充足,气 管内插管位置正确,潮气",0.495495404502766,"O2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供者脑死亡后迅速建立人工呼吸,心脏死亡；叶类为脑死亡后呼吸,0.49604736932103,特里赫特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I类为,
0230.txt,中国肺移植供体标准及获取转运指南,2018,供心保护脑死亡后用麻醉机维持呼吸,等待心脏死亡；叶类为脑死亡后呼吸,0.496884705062547,马斯特里赫特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I,
0230.txt,中国肺移植供体标准及获取转运指南,2018,死亡后迅速建立人工呼吸,亡；叶类为脑死亡后呼吸,0.498254793995745,特(Maastricht)标准 分为5类：I类为供体到达医院时宣布死亡；D类为 心肺复苏后宣布供体死亡；出类为撤除生命支持措 施后等待心脏死亡；叶类为脑死亡后呼吸停止、心 脏停搏；V类为住院患者的心脏停搏。依据《中国 心脏死亡器官捐献分类标准》，我国器官捐献分为 3类：I类为DBD,
0230.txt,中国肺移植供体标准及获取转运指南,2018,"脑死亡后,4例气管插管,3例面罩吸氧",",应通气充足,气 管内插管位置正确,",0.498514112623201,"O2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持",
0230.txt,中国肺移植供体标准及获取转运指南,2018,脑死亡后立即气管内插管给氧,"应通气充足,气 管内插管位",0.49902056713188,"2/FiO2>300 mmHg是基本要求。尤其注意，在获 取供肺前每2 h进行1次动脉血气分析，如果动脉血 气不达标,在宣布此肺不合格之前,应通气充足,气 管内插管位置正确,潮气量足够,同时经纤支镜吸净 气道分泌物以排除大气道内分泌物阻塞,只有在排除 上述影响因素、充分通气和维持最",
0230.txt,中国肺移植供体标准及获取转运指南,2018,供体心肺的获取和保护..行气管插管通气,陈静瑜.肺移植供体肺的维护及获取J].,0.499565406263021,"[J] . Chest, 2015, 147(2): 309-316. DOI: 10.1378/chest.14-1748."", ""[2]陈静瑜.肺移植供体肺的维护及获取J].武汉 大学学报(医学版)，2016, 37(4): 540-542. DOI: 10.14188/j.1",
0395.txt,合并肺动脉高压的心脏移植,2018,气管切开气管插管,次插管、气管切开,0.130373643453696,"肺部并发症增 多&术后低氧、肺不张和感染等可导致FVR增加，加 剧或诱发供心急性右心衰竭的发生&因此，术后常需 要延长呼吸机辅助治疗时间，二次插管、气管切开的比 率较高［1］&"", ""心脏移植术后出现急性肾功能损伤较为常见［10］， 有移植术前心肾功能不佳的原因，也有体外循环的损 ",
0395.txt,合并肺动脉高压的心脏移植,2018,供体心肺的切取气管插管,，二次插管、气管切开的,0.384615384615385,"早期肺部并发症增 多&术后低氧、肺不张和感染等可导致FVR增加，加 剧或诱发供心急性右心衰竭的发生&因此，术后常需 要延长呼吸机辅助治疗时间，二次插管、气管切开的比 率较高［1］&"", ""心脏移植术后出现急性肾功能损伤较为常见［10］， 有移植术前心肾功能不佳的原因，也有体外循环的",
0395.txt,合并肺动脉高压的心脏移植,2018,供体平卧位，气管插管,时间，二次插管、气管,0.416666666666667,"术后早期肺部并发症增 多&术后低氧、肺不张和感染等可导致FVR增加，加 剧或诱发供心急性右心衰竭的发生&因此，术后常需 要延长呼吸机辅助治疗时间，二次插管、气管切开的比 率较高［1］&"", ""心脏移植术后出现急性肾功能损伤较为常见［10］， 有移植术前心肾功能不佳的原因，也有体外循",
0395.txt,合并肺动脉高压的心脏移植,2018,经气管切开气管插管建立人工呼吸,助治疗时间，二次插管、气管切开,0.443706088833409,"压病人术后早期肺部并发症增 多&术后低氧、肺不张和感染等可导致FVR增加，加 剧或诱发供心急性右心衰竭的发生&因此，术后常需 要延长呼吸机辅助治疗时间，二次插管、气管切开的比 率较高［1］&"", ""心脏移植术后出现急性肾功能损伤较为常见［10］， 有移植术前心肾功能不佳的原因，也有",
0395.txt,合并肺动脉高压的心脏移植,2018,"供心切取配合,护士协助医生气管插管辅助呼吸",要延长呼吸机辅助治疗时间，二次插管、气管切,0.499565406263021,"术前有肺动脉高压病人术后早期肺部并发症增 多&术后低氧、肺不张和感染等可导致FVR增加，加 剧或诱发供心急性右心衰竭的发生&因此，术后常需 要延长呼吸机辅助治疗时间，二次插管、气管切开的比 率较高［1］&"", ""心脏移植术后出现急性肾功能损伤较为常见［10］， 有移植术前心肾功能不",
0443.txt,同种异体肺移植术治疗终末期良性肺病2例体会,2018,供者气管插管,双腔气管插管,0.25,道转运至我院，供体肺冷缺血时间约7h。病例2的供体来源于本院脑死亡捐献者，冷缺血时间低于1h。受体手术方式：病例1采取序贯式双肺移植术，采用双腔气管插管，留置Ｓwan－Ｇanz气囊漂浮导管术中监测肺动脉压，先分别行左右侧单肺通气后评估肺动脉压增高情况、氧饱和度能否维持、有无二氧化碳,
0443.txt,同种异体肺移植术治疗终末期良性肺病2例体会,2018,供者行气管插管,用双腔气管插管,0.333333333333333,通道转运至我院，供体肺冷缺血时间约7h。病例2的供体来源于本院脑死亡捐献者，冷缺血时间低于1h。受体手术方式：病例1采取序贯式双肺移植术，采用双腔气管插管，留置Ｓwan－Ｇanz气囊漂浮导管术中监测肺动脉压，先分别行左右侧单肺通气后评估肺动脉压增高情况、氧饱和度能否维持、有无二氧化,
0443.txt,同种异体肺移植术治疗终末期良性肺病2例体会,2018,供体手术气管插管通气,术，采用双腔气管插管,0.382786600151632,航绿色通道转运至我院，供体肺冷缺血时间约7h。病例2的供体来源于本院脑死亡捐献者，冷缺血时间低于1h。受体手术方式：病例1采取序贯式双肺移植术，采用双腔气管插管，留置Ｓwan－Ｇanz气囊漂浮导管术中监测肺动脉压，先分别行左右侧单肺通气后评估肺动脉压增高情况、氧饱和度能否维持、有无,
0443.txt,同种异体肺移植术治疗终末期良性肺病2例体会,2018,供体平卧位，气管插管,，采用双腔气管插管，,0.382786600151632,绿色通道转运至我院，供体肺冷缺血时间约7h。病例2的供体来源于本院脑死亡捐献者，冷缺血时间低于1h。受体手术方式：病例1采取序贯式双肺移植术，采用双腔气管插管，留置Ｓwan－Ｇanz气囊漂浮导管术中监测肺动脉压，先分别行左右侧单肺通气后评估肺动脉压增高情况、氧饱和度能否维持、有无二,
0443.txt,同种异体肺移植术治疗终末期良性肺病2例体会,2018,供体手术气管插管,采用双腔气管插管,0.4,色通道转运至我院，供体肺冷缺血时间约7h。病例2的供体来源于本院脑死亡捐献者，冷缺血时间低于1h。受体手术方式：病例1采取序贯式双肺移植术，采用双腔气管插管，留置Ｓwan－Ｇanz气囊漂浮导管术中监测肺动脉压，先分别行左右侧单肺通气后评估肺动脉压增高情况、氧饱和度能否维持、有无二氧,
