file_name,title_ch,author_ch,journal,year,full_text_available,full_text_url,voluntary_or_donation,brain_death,donor,prisoner_or_execution,death_determination,circulatory_death,airway_or_ventilation,consent_or_family,allocation_or_system,retrieval,date_mentions,relevant_excerpt
0652.txt,儿童活体和尸体肝移植的临床效果比较,祖彩华; 滕大洪; 李俊杰; 高伟; 郭庆军; 马楠; 蔡金贞; 沈中阳; 张国梁,天津医药; Tianjin Medical Journal,2016,True,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0652.txt,False,False,True,False,False,False,True,False,False,True,2003年 | 2001年 | 1999年 | 1952年,"2.5免疫治疗术前24h口服FK506(tacrolimus)0.1mg/kg与骁悉(cellcept)2.0g,分2次口服。体外循环前及升主动脉开放前用甲基强的松龙(mp)1000mg与500mg静脉注射,术后3d内每天750mg,后改用强的松龙(pred)口服。术后口服(拔除气管插管前鼻饲)FK5065mg和骁悉1.0gBid。每天服药前2h内抽血监测FK506血浓度(骁悉无法检测)谷值,由23~25ng/L,经调整FK506药量每次维持在1~2mg,血浓度谷值维持在15~20ng/L。术后排异反应主要靠临床症状与体征、心电图、超声心动图(1次/日)和心内膜"
0655.txt,公民逝世后器官捐献供肝移植62例临床分析,黄东东; 胡泽民; 何坤; 孙强; 阮嘉后,中华普通外科学文献(电子版); Chinese Archives of General Surgery(Electronic Edition),2016,True,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0655.txt,True,True,True,False,True,True,True,True,False,True,2008年 | 1982年 | 1968年 | 1980年 | 1981年,器官、系统等由于自然的衰竭和老化而中止其生理机能；二是因各种疾病造成的病理死亡———着重强调由于内部病理机制原因而造成的死亡；三是因机体受机械的、化学的或其他的因素所造成的意外死亡［1］。其中大多数人的死亡是病理性的，即身患疾病最终不治而亡。临床上对死亡的判定通常是以“患者呼吸、心跳停止，瞳孔散大而固定，所有生理基本反射消失，心电波平直”这些标准进行操作。然而近三、四十年来，随着社会的进步发展，特别是以人为本、人性关怀，以及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑 || 最终不治而亡。临床上对死亡的判定通常是以“患者呼吸、心跳停止，瞳孔散大而固定，所有生理基本反射消失，心电波平直”这些标准进行操作。然而近三、四十年来，随着社会的进步发展，特别是以人为本、人性关怀，以及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑死亡双重标准予以判定。单纯的脑死亡判定标准就是指临床意义上的脑死亡，即脑干死亡，具体指以脑干或脑干以上中枢神经系统永久性丧失功能为参照系而宣布死亡的标准。脑死亡有别于“植物人”，“植物人”脑干功能是正常的，昏迷只是由于大脑皮 || 止，瞳孔散大而固定，所有生理基本反射消失，心电波平直”这些标准进行操作。然而近三、四十年来，随着社会的进步发展，特别是以人为本、人性关怀，以及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑死亡双重标准予以判定。单纯的脑死亡判定标准就是指临床意义上的脑死亡，即脑干死亡，具体指以脑干或脑干以上中枢神经系统永久性丧失功能为参照系而宣布死亡的标准。脑死亡有别于“植物人”，“植物人”脑干功能是正常的，昏迷只是由于大脑皮层受到严重损害或处于突然抑制状态，患者可以有自主呼吸、心跳 || 本反射消失，心电波平直”这些标准进行操作。然而近三、四十年来，随着社会的进步发展，特别是以人为本、人性关怀，以及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑死亡双重标准予以判定。单纯的脑死亡判定标准就是指临床意义上的脑死亡，即脑干死亡，具体指以脑干或脑干以上中枢神经系统永久性丧失功能为参照系而宣布死亡的标准。脑死亡有别于“植物人”，“植物人”脑干功能是正常的，昏迷只是由于大脑皮层受到严重损害或处于突然抑制状态，患者可以有自主呼吸、心跳和脑干反射；而脑死亡则无自主呼吸，是 || 进行操作。然而近三、四十年来，随着社会的进步发展，特别是以人为本、人性关怀，以及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑死亡双重标准予以判定。单纯的脑死亡判定标准就是指临床意义上的脑死亡，即脑干死亡，具体指以脑干或脑干以上中枢神经系统永久性丧失功能为参照系而宣布死亡的标准。脑死亡有别于“植物人”，“植物人”脑干功能是正常的，昏迷只是由于大脑皮层受到严重损害或处于突然抑制状态，患者可以有自主呼吸、心跳和脑干反射；而脑死亡则无自主呼吸，是永久、不可逆性的，脑干由于 || 及临终关怀这些人性理念和社会经济水平、医学科技力量发展因素的影响，国外逐步建立起以脑死亡作为判断死亡的标准，或以心肺循环功能不可逆的终止结合脑死亡双重标准予以判定。单纯的脑死亡判定标准就是指临床意义上的脑死亡，即脑干死亡，具体指以脑干或脑干以上中枢神经系统永久性丧失功能为参照系而宣布死亡的标准。脑死亡有别于“植物人”，“植物人”脑干功能是正常的，昏迷只是由于大脑皮层受到严重损害或处于突然抑制状态，患者可以有自主呼吸、心跳和脑干反射；而脑死亡则无自主呼吸，是永久、不可逆性的，脑干由于遭受无法复原的伤害就会永久性完全丧失功能，以致呼吸、心跳停止。随后，身体的其他器官
0660.txt,心脏死亡器官捐献供肝肝移植182例单中心经验总结,胡良硕; 师建华; 田敏; 沙焕臣; 张晓刚; 刘学民; 刘昌; 于良; 吕毅; 王博,器官移植; Organ Transplantation,2017,True,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0660.txt,False,False,True,False,False,False,True,False,False,False,2004年 | 2006年,"示窦性心律不齐、右室肥厚。经过积极的术前准备,于2004年10月22日在全麻低温体外循环下行同种异体右单肺移植、室间隔缺损修补手术。术中体外循环244min,上下腔静脉阻断69min,供肺热缺血2min,冷缺血约6h。术后经过精心护理,住院141d,痊愈出院。2支持监护措施2.1机械通气据文献报道,肺移植术后采用定容型呼吸机,且呼气末正压(PEEP)<4~6cmH2O,尽管PEEP高些可提高血氧分压,但长时间应用对气管吻合口愈合有害。一般术后1~3d拔出气管插管[1]。本例肺移植患者术后采用定压型呼吸机,且PEEP5~13cmH2O,持续应用呼吸机10d,患者无 || in,供肺热缺血2min,冷缺血约6h。术后经过精心护理,住院141d,痊愈出院。2支持监护措施2.1机械通气据文献报道,肺移植术后采用定容型呼吸机,且呼气末正压(PEEP)<4~6cmH2O,尽管PEEP高些可提高血氧分压,但长时间应用对气管吻合口愈合有害。一般术后1~3d拔出气管插管[1]。本例肺移植患者术后采用定压型呼吸机,且PEEP5~13cmH2O,持续应用呼吸机10d,患者无肺部气压伤,气管吻合口愈合良好。2.1.1加强呼吸监测,掌握脱机指征:本例肺移植患者采用德国Drag-Ⅱ型呼吸机。患者手术完毕转入ICU,麻醉意识未清醒,带气管插管接呼吸机控制呼 || 后1~3d拔出气管插管[1]。本例肺移植患者术后采用定压型呼吸机,且PEEP5~13cmH2O,持续应用呼吸机10d,患者无肺部气压伤,气管吻合口愈合良好。2.1.1加强呼吸监测,掌握脱机指征:本例肺移植患者采用德国Drag-Ⅱ型呼吸机。患者手术完毕转入ICU,麻醉意识未清醒,带气管插管接呼吸机控制呼吸,呼吸机模式为双水平气道正压通气(BIPAP)模式,呼吸机参数:吸气压力12cmH2O,PEEP9cmH2O,呼吸频率(f)12次/min,吸气时间2s,吸入氧浓度(FiO2)100%。机械通气30min查动脉血气,血气分析示:pH7.455,动脉血二氧化碳分压( || 用德国Drag-Ⅱ型呼吸机。患者手术完毕转入ICU,麻醉意识未清醒,带气管插管接呼吸机控制呼吸,呼吸机模式为双水平气道正压通气(BIPAP)模式,呼吸机参数:吸气压力12cmH2O,PEEP9cmH2O,呼吸频率(f)12次/min,吸气时间2s,吸入氧浓度(FiO2)100%。机械通气30min查动脉血气,血气分析示:pH7.455,动脉血二氧化碳分压(PaCO2)49.2mmHg,动脉血氧分压(PaO2)58mmHg,实际碳酸氢盐(HCO3-)35mmol/L,剩余碱(BE)11mmol/L。调整呼吸机参数:吸气压力20cmH2O,PEEP13cmH2O,F || 必须用纤维支气管镜吸痰。根据听诊移植肺及自体肺的呼吸音情况及对血气、胸片的分析,护士配合医生实施纤维支气管镜吸痰,同时做痰细菌培养加药物敏感实验,指导抗生素的应用。本例患者术后1~5d,每天行纤维支气管镜吸痰2次。术后6~20d,每天行纤维支气管镜吸痰1次。2.3吸痰管吸痰吸痰是机械通气中保持呼吸道通畅的重要护理措施。若吸痰操作不当或过于频繁可加重缺氧、窒息、肺不张、支气管痉挛、气道损伤、颅内高压、感染等。由于移植肺与外界开放,极易发生感染,所以肺移植手术后,吸痰要求严格无菌操作,手法轻柔、娴熟,选择软硅胶吸痰管,避免损伤支气管黏膜。每次吸痰时戴无菌手套,吸痰管 || 颅内高压、感染等。由于移植肺与外界开放,极易发生感染,所以肺移植手术后,吸痰要求严格无菌操作,手法轻柔、娴熟,选择软硅胶吸痰管,避免损伤支气管黏膜。每次吸痰时戴无菌手套,吸痰管一用一更换,吸痰用生理盐水一次一更换,每次开启1瓶100ml的生理盐水。方法是在无负压情况下将吸痰管插入气管插管,插到底部上提0.5~1cm,然后边旋转吸痰管,边缓慢退出。吸痰前后给予高浓度吸氧2min,并适时加大潮气量[2]。吸痰压力要低于200cmH2O,吸痰时间不超过15s,以免损伤支气管黏膜,引起黏膜水肿、出血及血痂形成。由于严格遵守无菌操作规程,该例患者无肺部感染等并发症发生。2"
0663.txt,大鼠心肾联合移植模型的建立,金钟大; 具春花,实用医学杂志; The Journal of Practical Medicine,2017,False,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0663.txt,False,False,False,False,False,False,False,False,False,False,,
0665.txt,心脏移植后他克莫司预防急性排斥效果的研究,柴军武; 薛奋龙; 王凯; 周巍; 陈洪磊; 孔祥荣,实用器官移植电子杂志; Practical Journal of Organ Transplantation(Electronic Version),2017,False,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0665.txt,False,False,False,False,False,False,False,False,False,False,,
0666.txt,器官捐献过程中供体采集的手术配合,杨俊婷,中国城乡企业卫生; Chinese Journal of Urban and Rural Enterprise Hygiene,2017,False,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0666.txt,False,False,False,False,False,False,False,False,False,False,,
0668.txt,小鼠颈部心脏移植模型的建立,曹健斌; 龚勇泉; 韦成信; 李富骊; 罗鹏,中国胸心血管外科临床杂志; Chinese Journal of Clinical Thoracic and Cardiovascular Surgery,2017,True,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0668.txt,True,False,True,False,False,True,False,False,False,False,2011年 | 2013年 | 2012年,现代临床护理（ModernClinicalNursing）2013.12（10）42同种异体肾移植是治疗终末期肾病的有效方法，目前供体器官短缺严重制约了国内器官移植工作［1］。近年来，在国内推行的心脏死亡器官捐献（donationaftercardiacdeath，DCD）是基于国内社会现状和法律规定提出的解决国内器官短缺的方法，日趋成为国内移植器官捐献的发展方向［2-3］。研究显示［4］，肾移植术后由于多种原因的影响，绝大多数受者在术后不同时期出现不同程度的胃肠道症状，其中腹泻 || 方案为骁悉（mycophenolatemofetilcapsules，MMF）联合普乐可复及强的松。1.2方法收集本组91例受者的年龄、性别、消化道病史、免疫抑制方案、抗生素使用及感染情况等临床资料，总结DCD肾移植受者术后腹泻的发生率。腹泻诊断标准：排便次数增多（每日排便3次以心脏死亡器官捐献肾移植受者术后腹泻的原因分析及护理伍梅娟，廖苑，肖晶，王菲，江海琴，赵鑫鑫（中山大学附属第一医院黄埔院区器官移植三区，广东广州，510700）［摘要］目的总结心脏死亡（donationaftercardiacdeath，DCD）肾移植受者术后腹泻的发生率，分析发生的原因。 || 使用及感染情况等临床资料，总结DCD肾移植受者术后腹泻的发生率。腹泻诊断标准：排便次数增多（每日排便3次以心脏死亡器官捐献肾移植受者术后腹泻的原因分析及护理伍梅娟，廖苑，肖晶，王菲，江海琴，赵鑫鑫（中山大学附属第一医院黄埔院区器官移植三区，广东广州，510700）［摘要］目的总结心脏死亡（donationaftercardiacdeath，DCD）肾移植受者术后腹泻的发生率，分析发生的原因。方法回顾性分析本院实施DCD肾移植手术的91例受者临床资料，评估术后腹泻发生率和分析发生的原因。结果91例受者中发生腹泻83例，腹泻发生率为91.2%。腹泻发生原因与使用免疫 || 泻发生率和分析发生的原因。结果91例受者中发生腹泻83例，腹泻发生率为91.2%。腹泻发生原因与使用免疫抑制剂、肠道菌群失调、感染、肠运动功能障碍有关。结论DCD肾移植受者术后腹泻发生率高，根据腹泻不同诱因采取相应的护理措施，避免并发症发生，对提高移植效果具有重要意义。［关键词］心脏死亡；器官捐献；肾移植；腹泻；护理［中图分类号］R473.6［文献标识码］B［文章编号］1671-8283（2013）10-0042-03［DOI］10.3969/j.issn.1671-8283.2013.10.014Causesofdiarrheasfromkidneytrans || 泻的原因与肠道感染、肠运动功能障碍、免疫抑制过量、菌群失调、使用引起腹泻的非免疫抑制药物有关。做好病情观察与记录，有针对性的采取护理措施，同时关注由腹泻引发的相关问题，预防并发症的发生，对保证移植效果具有重要意义。参考文献：［1］黄洁夫．推动我国器官移植事业健康发展的关键性举措-心脏死亡器官试点工作原则性思考［J］．中华器官移植杂志，2011，32（1）：1-4．［2］中华人民共和国卫生部医疗服务监管司．卫生部办公厅关于启动心脏死亡捐献器官移植试点工作的通知（附件1-中国心脏死亡捐献器官分类标准）［EB/OL］．http：//www．Moh．govcn/publ || 腹泻引发的相关问题，预防并发症的发生，对保证移植效果具有重要意义。参考文献：［1］黄洁夫．推动我国器官移植事业健康发展的关键性举措-心脏死亡器官试点工作原则性思考［J］．中华器官移植杂志，2011，32（1）：1-4．［2］中华人民共和国卫生部医疗服务监管司．卫生部办公厅关于启动心脏死亡捐献器官移植试点工作的通知（附件1-中国心脏死亡捐献器官分类标准）［EB/OL］．http：//www．Moh．govcn/publicfiles/business/htmlfiles/zwgkzt/s9968/201104/51516．htm．［3］中华医学会器官移植分会．中国
0670.txt,小鼠腹部异位心脏移植模型的建立与改进,宋少华; 徐春扬; 郭猛; 刘芳; 丁国善; 王全兴; 傅志仁,第二军医大学学报; Academic Journal of Second Military Medical University,2018,True,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0670.txt,False,False,True,False,False,False,False,True,False,False,2008年 | 2006年 | 2007年 | 1974年 | 1984年,"体心脏冠状动脉旁路移植术联合室壁瘤切除术+异位心脏移植术,术后患者均先后进行3次MRI随访检查,术后首次随访1~3个月时进行第1次MRI检查;第2次随访3~6个月进行第2次MRI检查;第3次随访6个月以上进行第3次MRI检查。术后平均随访时间14.4(1~17)个月,所有患者均签知情同意书。1.2方法采用1.5T超导磁共振成像仪(德国Siemens,Avanto1.5T),最大梯度45mT/m,最大梯度切换率200mT·m-1·ms-1。心脏检查使用2个4通道体线圈和2个脊柱相控阵线圈单元,心电门控采用磁共振兼容的无线矢量心电门控板。检查时采用头先进仰卧位体位和"
0673.txt,同种异体原位心脏移植的手术护理配合,陈树红; 谭淑芳; 陈兆伦; 陈瑾; 陈春玲; 赖翠萍; 陈兆仑,岭南现代临床外科; Lingnan Modern Clinics in Surgery,2018,False,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/0673.txt,False,False,False,False,False,False,False,False,False,False,,
4093.txt,脑死亡患者无偿器官捐献中供体器官维护的护理,李敏|徐溧婕|范艳黔|雷英|李惠敏,当代护士(中旬刊); Today Nurse,2016,False,https://raw.githubusercontent.com/mpr1255/dead_donor_replication/master/data/txt/4093.txt,False,False,False,False,False,False,False,False,False,False,,
