judgment_id,title,roc_date,case_reason,score,source_query_count,source_queries,matched_groups,matched_terms,content_sha256,public_url
"CHDM,113,金訴,657,20250724,1",臺灣彰化地方法院 113 年度金訴字第 657 號刑事判決,民國 114 年 07 月 24 日,違反銀行法等,22,9,baseline control | 器官移植 仲介 中國 | 器官移植 匯款 中國 | 器官移植 抗排斥藥 入出境 | 器官移植 抗排斥藥 匯款 | 湘雅三醫院 移植 | 肝臟移植 仲介 中國 | 腎臟移植 仲介 中國 | 青島大學附屬醫院 移植,organ | cross_border | brokerage | payment | travel_medical | provenance_custody | evidence | hospital,中南大學湘雅三醫院 | 中國 | 交易明細 | 人民幣 | 仲介 | 仲介費 | 供述 | 供體 | 入出境 | 入出境資料 | 出入境 | 匯兌 | 匯款 | 器官移植 | 地下匯兌 | 報酬 | 對話紀錄 | 居間 | 帳冊 | 帳戶 | 扣案 | 抗排斥藥 | 抗排斥藥物 | 搭機 | 支付 | 新臺幣 | 湘雅 | 湘雅三醫院 | 現金 | 病歷 | 監獄 | 移植手術 | 移植時間 | 肝臟移植 | 腎臟移植 | 證人 | 費用 | 赴陸 | 轉帳 | 銀行 | 長沙 | 青島 | 青島大學 | 青島大學附屬醫院,4f97234424c3fd552a95e31ab0fa87c065d04645f272f7903d44180870ebc3ae,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CHDM,113,%E9%87%91%E8%A8%B4,657,20250724,1&ot=in"
"TPHM,110,上訴,1140,20211118,1",臺灣高等法院 110 年度上訴字第 1140 號刑事判決,民國 110 年 11 月 18 日,詐欺等,20,1,器官移植 仲介 中國,organ | cross_border | brokerage | payment | travel_medical | provenance_custody | evidence,上海 | 中國 | 交易明細 | 人民幣 | 仲介 | 供述 | 健保 | 受刑人 | 器官移植 | 心臟移植 | 扣案 | 搜索 | 支付 | 新臺幣 | 現金 | 病歷 | 證人 | 費用 | 銀行,ff6a7d1437cb0c5e2a3cbe70a63998e89ff81beacc62f50a2d67cfa0d80ba9f3,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,110,%E4%B8%8A%E8%A8%B4,1140,20211118,1&ot=in"
"KLDM,113,訴,249,20250909,5",臺灣基隆地方法院 113 年度訴字第 249 號刑事判決,民國 114 年 09 月 09 日,兒童及少年性剝削防制條例等,19,1,器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,LINE | 中國 | 交易明細 | 供述 | 健保 | 匯款 | 器官移植 | 報酬 | 媒介 | 對價 | 對話紀錄 | 居間 | 帳冊 | 帳戶 | 扣案 | 搜索 | 支付 | 新臺幣 | 現金 | 病歷 | 證人 | 費用 | 轉帳 | 通訊軟體 | 銀行,dc6f1fb0335d5654a489c791c7a9c5a20151079dc1695114fdb662ff260c429c,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KLDM,113,%E8%A8%B4,249,20250909,5&ot=in"
"TNDM,111,醫訴,2,20231024,4",臺灣臺南地方法院 111 年度醫訴字第 2 號刑事判決,民國 112 年 10 月 24 日,組織犯罪條例等,19,1,器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,LINE | 上海 | 中國 | 交易明細 | 介紹費 | 佣金 | 供述 | 入出境 | 出入境 | 北京 | 匯款 | 器官移植 | 報酬 | 境外 | 大陸 | 對價 | 對話紀錄 | 帳戶 | 微信 | 扣案 | 招攬 | 搜索 | 支付 | 新臺幣 | 病歷 | 航班 | 證人 | 費用 | 轉帳 | 通訊軟體 | 銀行,af34324591e6e924091d81109a7055fda89db9046316dfb113ab10a7c567b3e3,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDM,111,%E9%86%AB%E8%A8%B4,2,20231024,4&ot=in"
"TNDM,114,訴,1628,20251127,1",臺灣臺南地方法院 114 年度訴字第 1628 號刑事判決,民國 114 年 11 月 27 日,妨害自由等,19,2,器官移植 仲介 中國 | 器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,中國 | 仲介 | 供述 | 入出境 | 匯款 | 器官移植 | 報酬 | 媒介 | 對話紀錄 | 帳冊 | 帳戶 | 微信 | 扣案 | 搜索 | 搭機 | 支付 | 新臺幣 | 證人 | 通訊軟體 | 銀行,2387b038f27624a8d9682bb0267863dbcda16bd2e912d7b3c314960cf7fd11da,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDM,114,%E8%A8%B4,1628,20251127,1&ot=in"
"TNDM,114,訴,503,20251127,4",臺灣臺南地方法院 114 年度訴字第 503 號刑事判決,民國 114 年 11 月 27 日,違反人口販運防制法等,19,2,器官移植 仲介 中國 | 器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,中國 | 仲介 | 供述 | 入出境 | 匯款 | 器官移植 | 報酬 | 媒介 | 對話紀錄 | 帳冊 | 帳戶 | 微信 | 扣案 | 搜索 | 搭機 | 支付 | 新臺幣 | 證人 | 通訊軟體 | 銀行,4066e312fb8f14bcb3f4f93c1d5bfd254bef5047be4bb970bac63ecc1a85f338,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDM,114,%E8%A8%B4,503,20251127,4&ot=in"
"TNHM,115,上訴,68,20260528,2",臺灣高等法院 臺南分院 115 年度上訴字第 68 號刑事判決,民國 115 年 05 月 28 日,違反人口販運防制法等,19,2,器官移植 仲介 中國 | 器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,中國 | 仲介 | 供述 | 入出境 | 匯款 | 器官移植 | 報酬 | 媒介 | 對話紀錄 | 帳冊 | 帳戶 | 微信 | 扣案 | 搜索 | 搭機 | 支付 | 新臺幣 | 證人 | 通訊軟體 | 銀行,fbd5fd5206f4498a8449d5dc95a20a2a97971905ce536e8938f720204342b4b4,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHM,115,%E4%B8%8A%E8%A8%B4,68,20260528,2&ot=in"
"TNHM,115,上訴,69,20260528,1",臺灣高等法院 臺南分院 115 年度上訴字第 69 號刑事判決,民國 115 年 05 月 28 日,違反人口販運防制法等,19,2,器官移植 仲介 中國 | 器官移植 匯款 中國,organ | cross_border | brokerage | payment | travel_medical | evidence,中國 | 仲介 | 供述 | 入出境 | 匯款 | 器官移植 | 報酬 | 媒介 | 對話紀錄 | 帳冊 | 帳戶 | 微信 | 扣案 | 搜索 | 搭機 | 支付 | 新臺幣 | 證人 | 通訊軟體 | 銀行,4122b5727cfc10bec60edfef05b09ff93fd3a316ba1b88c6e764e81625bb1b9d,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHM,115,%E4%B8%8A%E8%A8%B4,69,20260528,1&ot=in"
"TCHM,114,金上訴,1935,20260211,1",臺灣高等法院 臺中分院 114 年度金上訴字第 1935 號刑事判決,民國 115 年 02 月 11 日,違反銀行法等,16,4,器官移植 仲介 中國 | 器官移植 仲介 大陸 | 器官買賣 中國 移植 | 肝臟移植 仲介 中國,organ | cross_border | brokerage | payment | provenance_custody | evidence,中國 | 人民幣 | 仲介 | 匯兌 | 器官來源 | 器官捐贈 | 器官移植 | 器官買賣 | 地下匯兌 | 境外 | 大陸 | 捐贈者 | 支付 | 新臺幣 | 監獄 | 移植手術 | 肝臟移植 | 證人 | 銀行,0f84322cacaba9d109eec9de101e7f2bc9fbd517f987f6668d58f10a1c53f717,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCHM,114,%E9%87%91%E4%B8%8A%E8%A8%B4,1935,20260211,1&ot=in"
"TPHM,111,重上更一,35,20260430,7",臺灣高等法院 111 年度重上更一字第 35 號刑事判決,民國 115 年 04 月 30 日,貪污治罪條例等,16,1,腎臟移植 仲介 中國,organ | cross_border | brokerage | payment | provenance_custody | evidence,上海 | 中國 | 仲介 | 佣金 | 供述 | 匯款 | 報酬 | 大陸 | 對價 | 帳冊 | 帳戶 | 扣案 | 搜索 | 支付 | 新臺幣 | 現金 | 移植手術 | 羈押 | 腎臟移植 | 證人 | 費用 | 銀行,06eccb1bc6750cf69644ac6302f6e09555afa8d4dc8e7bd117140ec868257640,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,111,%E9%87%8D%E4%B8%8A%E6%9B%B4%E4%B8%80,35,20260430,7&ot=in"
